,FECHA,TIPO GASTO,TC,TOTAL SAT
0,2021-01-01,COMISION BANCARIA,1.0,568.4
1,2021-01-01,COMISION BANCARIA,1.0,400.2
2,2021-01-01,ARRENDAMIENTO FINANCIERO,1.0,6439.6
3,2021-01-01,ARRENDAMIENTO FINANCIERO,1.0,6440.3
4,2021-01-01,NO DEDUCIBLE,1.0,599.0
5,2021-01-01,NO DEDUCIBLE,1.0,335.37
6,2021-01-01,NO DEDUCIBLE,1.0,495.64
7,2021-01-01,PAQUETERIA,1.0,0.0
8,2021-01-01,MTTO COMPUTO,1.0,417.6
9,2021-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
10,2021-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
11,2021-01-01,COMISION BANCARIA,1.0,0.0
12,2021-01-01,COMISION BANCARIA,1.0,172.1
13,2021-01-01,TELEFONO,1.0,2527.34
14,2021-01-01,TELEFONO,1.0,549.01
15,2021-01-01,MTTO COMPUTO,1.0,392.08
16,2021-01-01,NO DEDUCIBLE,1.0,605.65
17,2021-01-01,NO DEDUCIBLE,1.0,198.0
18,2021-01-01,ALIMENTOS,1.0,399.0
19,2021-01-01,MTTO COMPUTO,1.0,45.01
20,2021-01-01,MTTO LOCAL,1.0,1972.0
21,2021-01-01,COMISION BANCARIA,1.0,0.0
22,2021-01-01,COMISION BANCARIA,19.9087,0.0
23,2021-01-01,PAQUETERIA,1.0,0.0
24,2021-01-01,COMISION BANCARIA,1.0,168.5
25,2021-01-01,MONITOREO CAMARAS ADT,1.0,1400.65
26,2021-01-01,SUELDOS VENTAS,1.0,8960.82
27,2021-01-01,SUELDOS PRODUCCION,1.0,18717.37
28,2021-01-01,PAQUETERIA,1.0,384.59
29,2021-01-01,COMISION BANCARIA,1.0,17.5
30,2021-01-01,SUELDOS PRODUCCION,1.0,15653.83
31,2021-01-01,HONORARIOS CONTABLES,1.0,4766.66
32,2021-01-01,COMISION BANCARIA,1.0,540.35
33,2021-01-01,PAQUETERIA,1.0,266.8
34,2021-01-01,TELEFONO,1.0,0.0
35,2021-01-01,PAQUETERIA,1.0,436.8
36,2021-01-01,NO DEDUCIBLE,1.0,639.19
37,2021-01-01,MONITOREO CAMARAS ADT,1.0,0.0
38,2021-01-01,NO DEDUCIBLE,1.0,1353.5
39,2021-01-01,GASOLINA,1.0,19625.94
40,2021-01-01,COMISION BANCARIA,1.0,444.04
41,2021-01-01,FLETES,1.0,72.0
42,2021-01-01,PAPELERIA,1.0,288.7
43,2021-01-01,COMISION BANCARIA,1.0,162.5
44,2021-01-01,MEDICOS,1.0,468.0
45,2021-01-01,ENERGIA ELECTRICA,1.0,3781.4
46,2021-01-01,SUELDOS DIRECCION,1.0,49413.78
47,2021-01-01,CAPACITACION,1.0,6349.2
48,2021-01-01,CAPACITACION,1.0,0.0
49,2021-01-01,GASOLINA,1.0,729.77
50,2021-01-01,COMISION BANCARIA,1.0,113.67
51,2021-01-01,PAPELERIA,1.0,1360.06
52,2021-01-01,TELEFONO,1.0,261.32
53,2021-01-01,SUELDOS VENTAS,1.0,26324.21
54,2021-01-01,SUELDOS PRODUCCION,1.0,18639.63
55,2021-01-01,MEDICOS,1.0,8700.0
56,2021-01-01,PAQUETERIA,1.0,3403.05
57,2021-01-01,COMISION BANCARIA,1.0,78.92
58,2021-01-01,SEGUROS,1.0,0.0
59,2021-01-01,SUELDOS PRODUCCION,1.0,19620.09
60,2021-01-01,MAQUILAS,1.0,45820.0
61,2021-01-01,MAQUILAS,1.0,0.0
62,2021-01-01,RENTA COPIADORA,1.0,2320.0
63,2021-01-01,CAPACITACION,1.0,0.0
